Method,1st importance,2nd importance,3rd importance,rsq,prop,fdr,pow
Egger fixed effects - steiger,dfb3_egger_after_steiger,ks_ivw_after_steiger,ks_egger_after_steiger,0.176712582,0.005957902,0.440677966,0.811688312
Egger fixed effects - tophits,dfb3_egger_after_steiger,dfb3_egger,ks_egger_after_steiger,0.184257318,0.003853015,1,0.990566038
Egger random effects - steiger,homosc_ivw_after_steiger,ks_ivw_after_steiger,homosc_egg_after_steiger,0.236648733,0.038458794,0.058536585,0.23976024
Egger random effects - tophits,ks_ivw_after_steiger,Qdiff_after_steiger,Qdiff,0.100931519,0.007563325,0.116402116,0.132352941
IVW fixed effects - steiger,dfb3_egger_after_steiger,ks_egger_after_steiger,dfb1_egger,0.172678143,0.003460578,0.851851852,0.870967742
IVW fixed effects - tophits,dfb3_egger_after_steiger,dfb3_egger,ks_egger_after_steiger,0.190537131,0.004958973,1,0.992424242
IVW random effects - steiger,ks_ivw_after_steiger,homosc_ivw_after_steiger,ks_egger_after_steiger,0.194009834,0.01059579,0.157303371,0.503846154
IVW random effects - tophits,ks_ivw,ks_egger,ks_ivw_after_steiger,0.132151828,0.006350339,0.174311927,0.503225806
Penalised median - steiger,shap_ivw_after_steiger,shap_egger_after_steiger,homosc_ivw_after_steiger,0.048918906,0.069603996,0.450537634,0.741953698
Penalised median - tophits,shap_egger_after_steiger,shap_ivw_after_steiger,homosc_ivw_after_steiger,0.068248693,0.060078487,0.444903581,0.758911212
Rucker mean (JK) - steiger,ks_ivw_after_steiger,homosc_ivw_after_steiger,Qdiff_after_steiger,0.212626647,0.057937924,0.059889677,0.206096753
Rucker mean (JK) - tophits,Qdiff,Qdiff_after_steiger,ks_egger_after_steiger,0.11042189,0.012986086,0.134969325,0.150724638
Rucker median (JK) - steiger,ks_ivw_after_steiger,homosc_ivw_after_steiger,homosc_egg_after_steiger,0.204620112,0.052158402,0.089337176,0.30007391
Rucker median (JK) - tophits,Qdiff,ks_egger_after_steiger,ks_ivw_after_steiger,0.110766003,0.011202283,0.060714286,0.089700997
Rucker point estimate - steiger,homosc_ivw_after_steiger,ks_ivw_after_steiger,homosc_egg_after_steiger,0.208076414,0.021691045,0.118251928,0.421441774
Rucker point estimate - tophits,ks_ivw_after_steiger,Qdiff,Qdiff_after_steiger,0.102567804,0.005993578,0.132867133,0.1375
Simple median - steiger,shap_ivw_after_steiger,ks_ivw_after_steiger,shap_egger_after_steiger,0.0819216,0.007670353,0.428571429,0.641025641
Simple median - tophits,ks_egger,ks_ivw,Qdiff,0.114935326,0.006921156,0.6875,0.832402235
Simple mode (NOME) - steiger,shap_ivw_after_steiger,shap_egger_after_steiger,ks_ivw_after_steiger,0.037729102,0.125579736,0.25728988,0.482599322
Simple mode (NOME) - tophits,st_correct,shap_ivw_after_steiger,ks_ivw_after_steiger,0.100072937,0.023082412,0.265175719,0.636209814
Simple mode - steiger,shap_ivw_after_steiger,shap_egger_after_steiger,ks_ivw_after_steiger,0.037245768,0.124652158,0.262472885,0.488364877
Simple mode - tophits,st_correct,shap_ivw_after_steiger,ks_ivw_after_steiger,0.103728571,0.020620763,0.302931596,0.601145038
Weighted median - steiger,shap_egger_after_steiger,homosc_ivw_after_steiger,shap_ivw_after_steiger,0.07945485,0.042062076,0.393617021,0.707362535
Weighted median - tophits,shap_egger_after_steiger,homosc_ivw_after_steiger,shap_ivw_after_steiger,0.097500501,0.034141991,0.43718593,0.776376147
Weighted mode (NOME) - steiger,shap_ivw_after_steiger,ks_ivw_after_steiger,shap_egger_after_steiger,0.069500063,0.082732786,0.322299652,0.651680076
Weighted mode (NOME) - tophits,ks_ivw_after_steiger,st_correct,ks_egger,0.107160428,0.026435961,0.366972477,0.705970149
Weighted mode - steiger,shap_ivw_after_steiger,shap_egger_after_steiger,ks_ivw_after_steiger,0.041422237,0.102782733,0.326086957,0.635124905
Weighted mode - tophits,st_correct,ks_ivw_after_steiger,shap_ivw_after_steiger,0.081570948,0.030467356,0.415789474,0.737516005